,BOX_OFFICE,BOX_OFFICE(prob),DATE,HOST_LAMIGO桃猿,HOST_中信兄弟,HOST_富邦悍將,HOST_統一7-ELEVEn獅,CLIENT_LAMIGO桃猿,CLIENT_中信兄弟,CLIENT_富邦悍將,CLIENT_統一7-ELEVEn獅,Fri,Sat,Sun,Thu,Tue,Wed,Previous_CLIENT_HR,Previous_CLIENT_ERR,Previous_HOST_HR,Previous_HOST_ERR,Previous_CLIENT_SCORE,Previous_HOST_SCORE,Previous_TIME,Previous_HOST_H,Previous_HOST_SO,Previous_HOST_SB,Previous_HOST_BB,Previous_CLIENT_H,Previous_CLIENT_SO,Previous_CLIENT_SB,Previous_CLIENT_BB,Stadium
126,6064,0.3032,2017-07-15,0,0,0,1,0,1,0,0,0,1,0,0,0,0,7,2,0,2,24,4,230,11,6,0,0,19,4,0,6,澄清湖
127,4565,0.22825,2017-07-16,0,0,0,1,0,1,0,0,0,0,1,0,0,0,4,0,0,1,9,2,192,7,1,0,1,12,6,0,5,澄清湖
128,4294,0.2147,2017-07-16,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,4,3,190,7,8,0,0,7,10,0,3,洲際
129,3868,0.1934,2017-07-18,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,7,249,5,4,2,7,5,10,0,2,洲際
130,4330,0.7872727272727272,2017-07-19,0,0,0,1,0,0,1,0,0,0,0,0,0,1,3,0,1,1,13,6,209,10,8,1,3,11,6,0,4,花蓮
131,3833,0.19165,2017-07-20,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,3,0,1,7,13,214,11,6,1,4,8,3,0,0,洲際
132,4231,0.7692727272727272,2017-07-20,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,9,5,190,9,8,1,3,10,3,0,3,花蓮
133,3561,0.17805,2017-07-21,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3,5,6,200,7,4,0,2,7,6,0,1,洲際
134,5125,0.25625,2017-07-21,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,1,3,11,216,8,7,2,10,4,8,1,5,桃園
135,9677,0.48385,2017-07-22,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,1,13,5,244,9,4,0,1,16,5,1,2,洲際
136,10093,0.50465,2017-07-22,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,2,3,7,10,233,14,7,1,7,8,4,0,1,桃園
